#{"t_start": 1667833080.0100543, "env_id": "abc-asic-v0"}
r,l,t,nd,lev,seq
-0.319653,39,78.492293,16190.0986328125,2369.6318359375,rfz; b -l; map_mst; &ifK3a_ifK3g; rwz; rs -K 8 -l; rf -l; b; rwz; b -l; rf; dc2; rw; rw; rw -l; rwz -l; map_mst; dc2; b -l; rwz; rs -K 8; rwz; map_mst; ifraig; rf -l; rs -K 8; map_mst; b; rw -l; rwz; rw -l; rf -l; b -l; b; dc2; b -l; rf; rf; ifraig
0.233804,39,144.124418,15820.349609375,1407.9737548828125,rwz; rs -K 8; b; rw -l; rs -K 8; dc2; rw -l; &ifK3a_ifK3g; rw; rwz; map_mst; rw -l; b; rwz; &ifK3a_ifK3g; rwz -l; b; rs -K 8; rwz -l; rs -K 8 -l; rw; b; dc2; b -l; map_mst; map_mst; rfz -l; rfz -l; rfz -l; rf -l; rf -l; &ifK3a_ifK3g; rw -l; map_mst; rs -K 8 -l; rf; b; rwz; rfz -l
0.017278,39,206.809039,15615.0634765625,1829.6060791015625,rw; rf; dc2; rw -l; rs -K 8 -l; ifraig; rfz; ifraig; dc2; rf; rf; ifraig; rf; rf -l; map_mst; &ifK3a_ifK3g; b -l; map_mst; ifraig; rfz -l; rfz; rfz -l; b; b -l; rwz; rfz -l; rs -K 8; rw; rw; rfz -l; rs -K 8 -l; rw; rw -l; dc2; &ifK3a_ifK3g; map_mst; b -l; rf -l; map_mst
0.260341,39,262.506864,14782.25390625,1454.660400390625,map_mst; rf; rw; rw -l; rf -l; rwz -l; b -l; b -l; b -l; rf; rf -l; map_mst; map_mst; rfz; &ifK3a_ifK3g; rw; rs -K 8 -l; rw -l; dc2; rs -K 8; &ifK3a_ifK3g; rf; rs -K 8 -l; rf -l; rw -l; rw; rw -l; dc2; rfz; rfz; rw -l; b; rf; b -l; rf; ifraig; rfz; rfz; rf -l
-0.053831,39,322.29304,16234.421875,1887.1429443359375,dc2; &ifK3a_ifK3g; rwz -l; dc2; rfz; ifraig; rfz; ifraig; rwz -l; rwz; rw -l; &ifK3a_ifK3g; rfz; rfz; rs -K 8; rf -l; map_mst; rs -K 8 -l; rwz -l; rfz -l; ifraig; &ifK3a_ifK3g; ifraig; rfz; b; map_mst; rw; rfz; b; rs -K 8 -l; b; rs -K 8 -l; dc2; rf -l; rs -K 8; map_mst; b; b; map_mst
0.158934,39,383.435106,14799.75,1652.1392822265625,rf; rf -l; b -l; rs -K 8 -l; b; rs -K 8 -l; rf; b -l; rw -l; dc2; ifraig; rfz -l; rs -K 8 -l; rfz -l; b -l; rfz; rs -K 8 -l; rs -K 8; dc2; b; rf; rw; rw; rs -K 8; dc2; map_mst; rf; ifraig; rwz; ifraig; b; map_mst; rwz -l; rw -l; rs -K 8 -l; rs -K 8 -l; &ifK3a_ifK3g; rf; rwz -l
0.281102,39,411.369806,14833.341796875,1408.9610595703125,rwz -l; rfz -l; rw; rf -l; rw; rwz; b -l; rwz -l; rfz -l; b; b; rf; rf -l; rs -K 8; rf; rs -K 8 -l; rs -K 8; rf -l; rf; rs -K 8; rf -l; &ifK3a_ifK3g; &ifK3a_ifK3g; rw; rwz -l; rfz; dc2; rwz -l; b -l; b -l; rfz; rwz -l; rfz; &ifK3a_ifK3g; rw; rwz; dc2; rf -l; rs -K 8
0.210505,39,450.383104,15318.09765625,1498.357177734375,b; dc2; rwz; map_mst; &ifK3a_ifK3g; rs -K 8; &ifK3a_ifK3g; rwz; rfz -l; rw -l; ifraig; rw; ifraig; ifraig; b; rs -K 8; rwz; rs -K 8; rfz; rfz -l; rfz; rf -l; rw -l; b -l; rs -K 8 -l; ifraig; ifraig; rf -l; rw -l; rfz -l; rfz -l; rfz; b -l; rfz; rf; rf -l; &ifK3a_ifK3g; b; rwz -l
0.204003,39,492.716458,13944.7783203125,1659.4747314453125,&ifK3a_ifK3g; rwz -l; rf -l; ifraig; rf; rf; rs -K 8 -l; &ifK3a_ifK3g; rwz; &ifK3a_ifK3g; rf; b -l; rw; dc2; rf -l; rs -K 8 -l; map_mst; rw; rs -K 8; rs -K 8; rf; rs -K 8; b; rwz; rfz -l; rwz; ifraig; ifraig; dc2; rw -l; &ifK3a_ifK3g; &ifK3a_ifK3g; b; rfz; rw; b -l; ifraig; rwz -l; rw -l
0.278769,39,549.182432,14530.7783203125,1442.9666748046875,rf -l; b -l; rf -l; rwz -l; rwz; rfz; rf -l; rs -K 8 -l; rwz -l; rs -K 8; rs -K 8 -l; rs -K 8 -l; b -l; rf -l; &ifK3a_ifK3g; rw -l; ifraig; dc2; ifraig; rf -l; rwz -l; b; rfz; rfz -l; rfz; b -l; rfz; rfz -l; rs -K 8 -l; &ifK3a_ifK3g; rw -l; map_mst; rs -K 8; dc2; dc2; rs -K 8; b -l; rf -l; rs -K 8
0.207415,39,579.927954,15268.642578125,1509.0941162109375,rwz; b -l; rfz; rf -l; rwz; rf -l; rfz; rw -l; rfz -l; rwz -l; dc2; rw; b; rfz; rf -l; rw; &ifK3a_ifK3g; rfz; rfz; rwz -l; dc2; dc2; rf; &ifK3a_ifK3g; &ifK3a_ifK3g; rw -l; rwz -l; rw; rfz; ifraig; rfz; dc2; rwz -l; rfz; rf; &ifK3a_ifK3g; rf; ifraig; rf -l
0.265139,39,616.584078,14545.2412109375,1468.7733154296875,b -l; &ifK3a_ifK3g; rwz; rwz; rfz; rs -K 8; rfz -l; rs -K 8; rwz; rfz -l; &ifK3a_ifK3g; rf -l; rs -K 8; ifraig; ifraig; rfz; b -l; rf; rf; rs -K 8; rwz -l; rwz -l; rs -K 8 -l; ifraig; rs -K 8; b -l; rw; &ifK3a_ifK3g; rwz; rfz; rf -l; rs -K 8; rwz -l; rs -K 8; rwz; rfz -l; rwz; rfz; rwz -l
0.395842,39,663.338352,13329.15234375,1317.7066650390625,rw -l; b; map_mst; rs -K 8; rs -K 8 -l; rw -l; rf; b -l; ifraig; &ifK3a_ifK3g; &ifK3a_ifK3g; b -l; rwz; &ifK3a_ifK3g; b; rf -l; rs -K 8; rf -l; rfz; rfz; rfz -l; rf; dc2; rwz; dc2; dc2; rfz -l; b -l; dc2; rfz; rfz; &ifK3a_ifK3g; &ifK3a_ifK3g; rw -l; rfz; rw -l; rfz; rfz -l; dc2
0.130103,39,693.131944,14738.86328125,1715.8314208984375,rwz; rs -K 8; b; rs -K 8 -l; rw; rs -K 8 -l; b; b; rwz; rs -K 8; rs -K 8; dc2; rs -K 8; b -l; b -l; b; &ifK3a_ifK3g; rs -K 8 -l; b; b; rwz -l; ifraig; rfz; ifraig; rw; dc2; rw; rwz -l; rwz -l; rs -K 8; rs -K 8; rwz; b -l; rfz -l; rwz -l; rw; rfz; rs -K 8; rw
0.024368,39,741.454834,16023.3037109375,1770.1275634765625,map_mst; dc2; rfz -l; rf; rwz -l; rs -K 8; rfz; b -l; rf -l; &ifK3a_ifK3g; &ifK3a_ifK3g; map_mst; b; dc2; &ifK3a_ifK3g; rs -K 8; rs -K 8; rs -K 8; rs -K 8; rwz; rwz; rfz -l; rs -K 8; b; rf -l; rs -K 8; rfz -l; rwz -l; rf -l; b; b -l; rfz -l; rfz; rwz; &ifK3a_ifK3g; rs -K 8; rs -K 8 -l; &ifK3a_ifK3g; rwz
0.153561,39,777.638139,15213.1220703125,1617.5133056640625,&ifK3a_ifK3g; rs -K 8 -l; rw -l; rs -K 8 -l; b; rw; rs -K 8; rs -K 8; rwz -l; &ifK3a_ifK3g; rwz -l; b; rf -l; b; ifraig; rwz -l; rfz; rw -l; rs -K 8; rwz -l; b; rfz; rs -K 8; rf -l; rfz; rfz; rf; rfz; rw; rwz -l; rw -l; rf; rs -K 8 -l; rs -K 8 -l; b -l; rf; dc2; rs -K 8; rs -K 8 -l
